seed,capacity,smart_dp,split_calc_rev,split_calc_p1,split_calc_p2,split_sim_rev,split_sim_p1,split_sim_p2,dumb_calc_rev,dumb_calc_p,dumb_sim_rev,dum_sim_p
1930931162,21,115.04,112.903,5,6,106.408,7,6,110.963,6,105.438,6
3053617053,22,122.24,119.548,6,5,112.808,7,6,117.706,6,112.518,6
3120700206,22,124.91,120.292,6,5,115.381,7,7,120.126,6,115.234,7
1780915159,22,115.216,113.325,5,6,107.58,6,6,110.919,6,107.646,6
4032932846,22,123.022,120.565,6,5,113.364,6,6,118.862,6,111.978,6
2384322119,21,116.836,114.197,5,6,107.698,6,7,112.787,6,107.358,6
20979723,22,122.191,120.26,5,6,114.203,7,6,118.474,6,113.244,6
3206293508,22,120.435,118.271,6,5,111.592,6,7,116.591,6,111.534,6
465713396,21,120.286,116.051,6,6,110.794,7,6,116.051,6,111.006,7
375334200,22,113.133,110,5,5,104.568,6,6,110,5,102.648,6
3606875125,21,124.143,122.26,6,6,115.115,7,7,122.26,6,115.024,7
2392101277,21,120.386,117.611,6,6,110.364,8,6,117.611,6,110.257,7
2080639904,22,119.731,117.705,5,6,110.995,7,6,115.655,6,109.884,6
3847409238,22,126.49,122.686,7,5,117.792,7,6,122.356,6,115.955,7
3622295170,21,119.674,115.405,6,6,110.166,6,7,115.405,6,109.176,6
3357249931,22,110.168,108.816,5,5,101.767,6,5,108.816,5,102.162,6
3424253843,22,123.763,120.034,5,6,115.465,7,6,119.61,6,114.044,7
3040806142,21,118.588,115.082,6,5,109.067,7,6,114.536,6,107.94,6
3586974230,21,111.031,109.943,6,5,104.574,6,6,107.898,6,103.344,6
1068114491,21,113.043,111.035,5,6,104.394,6,6,108.708,6,103.884,6
