p1,p2,theta1,theta2,log_t1,log_t2
0,0,15.2127,61.2697,2.72213,4.11528
0,1,15.2127,47.4684,2.72213,3.86006
0,2,15.2127,37.0308,2.72213,3.61175
0,3,15.2127,29.0859,2.72213,3.37025
0,4,15.2127,22.9987,2.72213,3.13544
0,5,15.2127,18.304,2.72213,2.90712
0,6,15.2127,14.6594,2.72213,2.68508
0,7,15.2127,11.8115,2.72213,2.46907
0,8,15.2127,9.57182,2.72213,2.25882
0,9,15.2127,7.79945,2.72213,2.05405
0,10,15.2127,6.38831,2.72213,1.85447
0,11,15.2127,5.25816,2.72213,1.65978
0,12,15.2127,4.34792,2.72213,1.4697
0,13,15.2127,3.61085,2.72213,1.28394
0,14,15.2127,3.01092,2.72213,1.10224
0,15,15.2127,2.52023,2.72213,0.924349
0,16,15.2127,2.11703,2.72213,0.750014
0,17,15.2127,1.78428,2.72213,0.579014
0,18,15.2127,1.50853,2.72213,0.411139
0,19,15.2127,1.27915,2.72213,0.246194
0,20,15.2127,1.08763,2.72213,0.0839986
1,0,12.0663,61.2697,2.49042,4.11528
1,1,12.0663,47.4684,2.49042,3.86006
1,2,12.0663,37.0308,2.49042,3.61175
1,3,12.0663,29.0859,2.49042,3.37025
1,4,12.0663,22.9987,2.49042,3.13544
1,5,12.0663,18.304,2.49042,2.90712
1,6,12.0663,14.6594,2.49042,2.68508
1,7,12.0663,11.8115,2.49042,2.46907
1,8,12.0663,9.57182,2.49042,2.25882
1,9,12.0663,7.79945,2.49042,2.05405
1,10,12.0663,6.38831,2.49042,1.85447
1,11,12.0663,5.25816,2.49042,1.65978
1,12,12.0663,4.34792,2.49042,1.4697
1,13,12.0663,3.61085,2.49042,1.28394
1,14,12.0663,3.01092,2.49042,1.10224
1,15,12.0663,2.52023,2.49042,0.924349
1,16,12.0663,2.11703,2.49042,0.750014
1,17,12.0663,1.78428,2.49042,0.579014
1,18,12.0663,1.50853,2.49042,0.411139
1,19,12.0663,1.27915,2.49042,0.246194
1,20,12.0663,1.08763,2.49042,0.0839986
2,0,9.63693,61.2697,2.2656,4.11528
2,1,9.63693,47.4684,2.2656,3.86006
2,2,9.63693,37.0308,2.2656,3.61175
2,3,9.63693,29.0859,2.2656,3.37025
2,4,9.63693,22.9987,2.2656,3.13544
2,5,9.63693,18.304,2.2656,2.90712
2,6,9.63693,14.6594,2.2656,2.68508
2,7,9.63693,11.8115,2.2656,2.46907
2,8,9.63693,9.57182,2.2656,2.25882
2,9,9.63693,7.79945,2.2656,2.05405
2,10,9.63693,6.38831,2.2656,1.85447
2,11,9.63693,5.25816,2.2656,1.65978
2,12,9.63693,4.34792,2.2656,1.4697
2,13,9.63693,3.61085,2.2656,1.28394
2,14,9.63693,3.01092,2.2656,1.10224
2,15,9.63693,2.52023,2.2656,0.924349
2,16,9.63693,2.11703,2.2656,0.750014
2,17,9.63693,1.78428,2.2656,0.579014
2,18,9.63693,1.50853,2.2656,0.411139
2,19,9.63693,1.27915,2.2656,0.246194
2,20,9.63693,1.08763,2.2656,0.0839986
3,0,7.74772,61.2697,2.0474,4.11528
3,1,7.74772,47.4684,2.0474,3.86006
3,2,7.74772,37.0308,2.0474,3.61175
3,3,7.74772,29.0859,2.0474,3.37025
3,4,7.74772,22.9987,2.0474,3.13544
3,5,7.74772,18.304,2.0474,2.90712
3,6,7.74772,14.6594,2.0474,2.68508
3,7,7.74772,11.8115,2.0474,2.46907
3,8,7.74772,9.57182,2.0474,2.25882
3,9,7.74772,7.79945,2.0474,2.05405
3,10,7.74772,6.38831,2.0474,1.85447
