TF_Recalc(10),TF_Recalc(5),TF_Recalc(2),TF_Recalc(1),DP_Calc,DP_Sim,One_Fare_Static_Sim,Seed
86.596,87.744,87.403,86.995,109.702,109.131,103.722,389484398
90.4785,89.803,90.6355,89.8435,113.741,111.901,108.295,1362568135
84.9095,85.2185,87.0755,86.4485,109.637,110.451,102.867,3677412022
88.038,86.915,88.214,88.9225,113.339,112.088,106.26,1817453655
87.627,88.616,87.8515,88.7305,111.291,112.297,104.958,1771412503
90.587,90.7855,90.2985,91.46,116.088,113.632,109.788,3454782732
90.301,89.9685,89.7955,89.3235,115.445,113.68,109.104,2458159783
90.6055,90.299,89.9105,90.587,114.68,113.428,107.856,1822029436
85.7055,87.1765,87.4505,87.305,111.509,112.56,105.066,3246682047
82.3865,84.0175,82.7915,83.573,104.844,105.717,99.558,4023165426
87.0985,86.0605,85.6925,86.1575,110.651,112.211,103.307,1288751020
85.4695,85.8405,87.1805,86.523,110.069,111.518,104.274,3929216709
85.778,86.0145,85.939,86.001,110.23,112.345,104.106,2661140608
86.858,86.532,86.5125,87.1935,112.676,112.915,105.258,4105884276
91.466,91.335,91.6245,90.6625,115.66,113.774,108.961,751602957
85.569,86.5915,85.707,86.5145,110.17,111.212,103.266,2697595756
86.312,86.7965,86.493,85.9175,110.197,110.697,103.842,1313042052
83.4045,84.66,83.051,84.3095,105.699,107.246,99.186,776581196
85.813,85.6815,86.387,85.5835,110.417,111.643,103.608,1959375988
85.881,85.5405,87.3585,86.4115,110.008,110.677,103.53,571051339
