mode,mult,TF_Recalc(10:20-80),TF_Recalc(5:20-80),TF_Recalc(10:50-50),TF_Recalc(5:50-50),DP_Calc,DP_Sim,TF_Static_Sim(20-80),TF_Static_Sim(50-50),OF_Static_Sim,Seed
Uniform,0.6,92.842,92.0125,93.713,92.794,97.66,97.6925,320,320,90.825,1
Uniform,0.7,103.232,102.867,103.471,103.817,109.334,109.634,380,380,102.732,1
Uniform,0.8,104.561,104.604,105.479,105.632,110.396,110.657,420,420,104.148,1
Linear,0.6,108.061,108.58,105.135,105.866,118.378,118.577,320,320,100.2,1
Linear,0.7,117.172,116.565,115.07,114.763,128.995,129.421,380,380,109.83,1
Linear,0.8,123.387,123.982,121.868,121.833,133.093,133.639,440,440,114.823,1
Exp_Gentle,0.6,142.289,141.971,139.188,139.728,154.364,155.011,320,320,130.45,1
Exp_Gentle,0.7,147.676,146.676,144.519,144.904,171.112,173.166,380,380,137.845,1
Exp_Gentle,0.8,165.547,163.303,155.673,152.767,181.666,182.847,440,440,142.56,1
Exp_Steep,0.6,266.181,265.76,268.315,268.84,286.103,287.363,320,320,264.34,1
Exp_Steep,0.7,296.866,295.073,294.03,296.215,313.442,312.862,360,360,288.06,1
Exp_Steep,0.8,286.994,286.138,285.331,286.002,320.106,318.565,420,420,283.062,1
Concave,0.6,67.1965,66.805,67.2365,66.9715,74.4404,74.552,300,300,64.537,1
Concave,0.7,80.9325,80.0625,79.7005,78.936,93.6696,92.531,380,380,78.298,1
Concave,0.8,75.718,76.1005,76.8735,75.9015,88.5609,88.452,420,420,75.2535,1
Uniform,0.6,86.361,87.0065,87.5875,86.9155,91.5944,91.911,320,320,84.851,2
Uniform,0.7,96.422,96.888,97.4885,96.625,102.624,101.759,380,380,95.056,2
Uniform,0.8,105.249,106.096,106.158,107.25,111.763,112.119,440,440,105.924,2
Linear,0.6,103.075,103.438,100.599,100.131,119.204,119.489,300,300,97.112,2
Linear,0.7,141.779,139.202,133.902,131.488,167.055,165.972,380,380,121.576,2
Linear,0.8,130.753,131.553,128.923,126.791,148.114,148.292,420,420,121.537,2
Exp_Gentle,0.6,153.452,157.085,151.294,152.015,173.98,173.109,320,320,138.655,2
Exp_Gentle,0.7,141.376,141.94,140.412,140.067,158.449,159.542,360,360,130.122,2
Exp_Gentle,0.8,180.156,179.797,170.512,168.959,197.628,199.34,440,440,152.84,2
Exp_Steep,0.6,264.145,266.507,267.341,267.961,283.39,284.505,320,320,262.54,2
Exp_Steep,0.7,237.042,243.156,234.345,232.151,260.518,260.651,360,360,226.331,2
Exp_Steep,0.8,283.238,281.358,283.054,281.004,310.373,312.397,440,440,269.118,2
Concave,0.6,71.72,71.0685,70.4555,70.0015,81.4711,80.835,320,320,68.33,2
Concave,0.7,69.3045,69.4565,69.6145,68.698,81.9846,81.816,360,360,68.697,2
Concave,0.8,79.6585,79.5145,78.323,77.735,88.9897,88.0305,420,420,76.6305,2
Uniform,0.6,91.638,92.42,92.311,92.046,98.0754,98.7785,320,320,90.195,3
Uniform,0.7,99.1845,100.31,100.452,101.037,106.325,105.887,380,380,98.58,3
Uniform,0.8,108.184,108.866,109.774,108.977,114.066,113.758,440,440,108.42,3
Linear,0.6,107.4,107.274,106.159,105.623,124.232,124.692,320,320,102.402,3
Linear,0.7,109.188,108.928,107.731,106.509,119.003,117.264,380,380,104.083,3
Linear,0.8,128.745,131.091,124.749,122.41,150.131,151.923,440,440,119.756,3
Exp_Gentle,0.6,168.081,169.666,160.359,157.229,184.147,182.707,340,340,141,3
Exp_Gentle,0.7,144.827,144.01,139.779,139.65,161.864,161.475,360,360,130.671,3
Exp_Gentle,0.8,142.919,141.953,137.383,135.163,159.66,160.045,400,400,127.136,3
Exp_Steep,0.6,251.376,251.129,252.971,253.285,270.195,269.495,320,320,244.54,3
Exp_Steep,0.7,266.223,269.91,266.767,267.67,290.82,291.725,380,380,257.897,3
Exp_Steep,0.8,273.853,274.663,266.056,267.878,299.077,297.874,420,420,259.193,3
Concave,0.6,75.605,75.1785,74.2705,73.2935,86.9843,86.151,320,320,72.1545,3
Concave,0.7,77.2,77.056,76.7235,76.5815,82.7798,83.551,380,380,75.045,3
Concave,0.8,77.1965,78.115,77.2535,76.274,88.5378,89.086,420,420,75.123,3
Uniform,0.6,96.843,96.7195,95.8495,97.4125,102.19,102.339,320,320,94.073,4
Uniform,0.7,98.757,98.7545,99.0595,99.7315,105.628,105.745,360,360,98.1045,4
Uniform,0.8,96.9335,97.994,98.511,98.241,102.513,102.131,420,420,96.492,4
Linear,0.6,127.556,125.469,119.368,118.313,140.717,140.98,320,320,108.536,4
Linear,0.7,123.254,123.489,119.846,118.079,138.682,139.04,360,360,111.57,4
Linear,0.8,127.785,127.766,123.698,123.942,142.622,142.928,440,440,118.587,4
Exp_Gentle,0.6,154.053,151.831,150.645,148.104,172.1,172.429,320,320,141.336,4
Exp_Gentle,0.7,173.406,174.628,166.725,166.483,192.668,191.915,380,380,149.87,4
Exp_Gentle,0.8,145.295,145.236,143.722,144.405,163.799,163.723,420,420,136.992,4
Exp_Steep,0.6,253.408,248.238,251.688,248.14,269.785,270.296,320,320,246.051,4
Exp_Steep,0.7,251.604,253.487,249.307,251.103,277.951,280.173,380,380,237.627,4
Exp_Steep,0.8,329.554,330.56,331.195,328.413,350.712,351.691,420,420,323.38,4
Concave,0.6,70.8045,71.867,71.13,71.145,88.7418,89.3825,320,320,70.2075,4
Concave,0.7,82.5215,82.58,81.0245,79.36,90.8131,90.9965,380,380,76.813,4
Concave,0.8,78.4705,77.7805,77.0785,77.223,88.9659,89.081,420,420,77.2245,4
Uniform,0.6,94.39,92.774,94.474,94.5265,100.581,100.745,320,320,93.31,5
Uniform,0.7,99.4005,99.8045,100.995,100.005,105.285,105.441,380,380,98.8195,5
Uniform,0.8,109.522,109.632,110.822,111.058,116.716,117.429,440,440,110.436,5
Linear,0.6,115.851,115.391,111.993,111.134,130.978,130.632,320,320,105.138,5
Linear,0.7,110.662,109.845,110.074,110.794,124.812,124.381,360,360,108.416,5
Linear,0.8,132.6,132.32,123.821,122.899,146.981,146.906,420,420,114.317,5
Exp_Gentle,0.6,140.535,140.079,138.249,138.124,153.389,152.889,320,320,128.699,5
Exp_Gentle,0.7,159.374,157.135,154.712,153.96,178.024,177.986,380,380,141.912,5
Exp_Gentle,0.8,149.741,150.458,141.814,140.579,168.722,168.066,420,420,134.896,5
Exp_Steep,0.6,249.619,246.232,247.652,248.518,265.553,264.689,320,320,238.48,5
Exp_Steep,0.7,259.332,260.697,259.454,258.803,279.841,279.301,360,360,248.745,5
Exp_Steep,0.8,287.009,288.935,287.914,290.853,325.477,325.845,440,440,279.035,5
Concave,0.6,74.661,74.5505,74.8515,74.7355,81.0391,81.0075,340,340,71.62,5
Concave,0.7,74.9405,74.8175,73.7765,73.859,83.3589,83.01,360,360,71.81,5
Concave,0.8,81.7575,81.721,81.5345,80.761,90.0557,90.627,440,440,79.371,5
Uniform,0.6,94.622,93.2935,93.9065,94.0835,98.7596,99.152,320,320,91.378,6
