mode,mult,TF_Recalc(10:20-80),TF_Recalc(5:20-80),TF_Recalc(10:50-50),TF_Recalc(5:50-50),DP_Calc,DP_Sim,TF_Static(20-80),TF_Realized(20-80),TF_Static(50-50),TF_Realized(50-50),OF_Static
Concave,0.6,72.3114,72.2758,71.9514,71.554,81.8993,81.949,75.7429,74.7875,73.8772,73.4661,71.5617
Concave,0.7,76.873,76.754,76.0238,75.599,86.6104,86.5392,79.918,78.4901,78.0151,77.2259,75.5628
Concave,0.8,79.6179,79.6134,78.9149,78.5653,90.6985,90.9154,83.3633,82.1495,81.0463,80.0412,78.6741
Exp_Gentle,0.6,145.7198,145.5045,142.4915,141.5556,163.5072,163.3219,145.6622,143.3501,146.4771,145.2413,135.1968
Exp_Gentle,0.7,148.2139,148.6524,145.1793,144.5714,167.6051,167.7114,148.3228,145.062,148.0916,146.3924,138.0939
Exp_Gentle,0.8,152.0089,152.2987,147.4726,146.2914,172.1225,172.0531,151.7602,147.6584,151.3302,148.9187,140.1606
Exp_Steep,0.6,260.8504,260.8296,261.4287,261.5208,279.4712,279.3516,263.6265,257.2725,265.2497,261.6798,262.7309
Exp_Steep,0.7,270.7664,271.8775,269.8003,269.5714,294.5787,294.7335,267.4944,258.0718,271.1009,265.9917,264.4034
Exp_Steep,0.8,284.9592,285.8019,282.0906,283.1082,315.0003,314.8582,278.747,269.6268,283.7448,276.3108,276.221
Linear,0.6,115.7736,115.6441,112.8511,111.948,130.5116,130.4477,117.2396,115.5938,115.5515,114.7171,107.6511
Linear,0.7,122.7938,122.5466,119.5753,118.9436,137.7747,137.4858,124.5806,122.2838,122.4844,121.0634,114.491
Linear,0.8,127.9498,127.9317,124.2804,123.0628,143.4099,143.406,129.5048,126.2292,126.5256,124.7256,118.1892
Uniform,0.6,93.5224,93.4054,93.7906,93.8463,99.2867,99.3807,94.4259,93.577,94.6482,93.7357,94.2734
Uniform,0.7,100.2209,100.4288,100.6354,100.4316,106.1925,106.0878,101.5574,100.0708,101.6439,100.3041,101.2295
Uniform,0.8,103.9367,104.1085,104.6338,104.6386,109.7757,109.8906,105.231,102.9628,105.3844,103.5676,105.1282
